seriesCode,iso2cd,year,value
SH_DYN_IMRT,pt,2018,3.1
SH_DYN_IMRT,pt,2018,3.4
SH_DYN_IMRT,pt,2018,2.8
SH_DYN_IMRT,gw,2018,54.0
SH_DYN_IMRT,gw,2018,59.4
SH_DYN_IMRT,gw,2018,48.3
SH_DYN_IMRT,tl,2018,42.8
SH_DYN_IMRT,tl,2018,39.3
SH_DYN_IMRT,tl,2018,35.7
SH_DYN_IMRT,qa,2018,5.8
SH_DYN_IMRT,qa,2018,5.4
SH_DYN_IMRT,qa,2018,6.3
SH_DYN_IMRT,ro,2018,6.7
SH_DYN_IMRT,ro,2018,5.5
SH_DYN_IMRT,ro,2018,6.1
SH_DYN_IMRT,ru,2018,6.1
SH_DYN_IMRT,ru,2018,6.8
SH_DYN_IMRT,ru,2018,5.5
SH_DYN_IMRT,rw,2018,24.2
SH_DYN_IMRT,rw,2018,29.7
SH_DYN_IMRT,rw,2018,27.0
SH_DYN_IMRT,kn,2018,10.7
SH_DYN_IMRT,kn,2018,9.8
SH_DYN_IMRT,kn,2018,8.8
SH_DYN_IMRT,lc,2018,16.4
SH_DYN_IMRT,lc,2018,14.9
SH_DYN_IMRT,lc,2018,13.3
SH_DYN_IMRT,vc,2018,14.8
SH_DYN_IMRT,vc,2018,16.2
SH_DYN_IMRT,vc,2018,13.4
SH_DYN_IMRT,sm,2018,1.9
SH_DYN_IMRT,sm,2018,1.7
SH_DYN_IMRT,sm,2018,1.6
SH_DYN_IMRT,st,2018,24.4
SH_DYN_IMRT,st,2018,21.5
SH_DYN_IMRT,st,2018,27.1
SH_DYN_IMRT,sa,2018,6.3
SH_DYN_IMRT,sa,2018,6.0
SH_DYN_IMRT,sa,2018,5.7
SH_DYN_IMRT,sn,2018,35.3
SH_DYN_IMRT,sn,2018,28.2
SH_DYN_IMRT,sn,2018,31.8
SH_DYN_IMRT,rs,2018,4.8
SH_DYN_IMRT,rs,2018,4.3
SH_DYN_IMRT,rs,2018,5.3
SH_DYN_IMRT,sc,2018,12.4
SH_DYN_IMRT,sc,2018,11.4
SH_DYN_IMRT,sc,2018,13.4
SH_DYN_IMRT,sl,2018,72.8
SH_DYN_IMRT,sl,2018,78.5
SH_DYN_IMRT,sl,2018,83.7
SH_DYN_IMRT,sg,2018,2.3
SH_DYN_IMRT,sg,2018,2.1
SH_DYN_IMRT,sg,2018,2.4
SH_DYN_IMRT,sk,2018,4.6
SH_DYN_IMRT,sk,2018,4.2
SH_DYN_IMRT,sk,2018,5.1
SH_DYN_IMRT,vn,2018,14.1
SH_DYN_IMRT,vn,2018,16.5
SH_DYN_IMRT,vn,2018,18.7
SH_DYN_IMRT,si,2018,1.6
SH_DYN_IMRT,si,2018,1.7
SH_DYN_IMRT,si,2018,1.9
SH_DYN_IMRT,so,2018,82.3
SH_DYN_IMRT,so,2018,70.5
SH_DYN_IMRT,so,2018,76.6
SH_DYN_IMRT,za,2018,28.5
SH_DYN_IMRT,za,2018,26.0
SH_DYN_IMRT,za,2018,30.9
SH_DYN_IMRT,zw,2018,33.9
SH_DYN_IMRT,zw,2018,29.9
SH_DYN_IMRT,zw,2018,37.8
SH_DYN_IMRT,es,2018,2.5
SH_DYN_IMRT,es,2018,2.7
SH_DYN_IMRT,es,2018,2.3
SH_DYN_IMRT,ss,2018,68.6
SH_DYN_IMRT,ss,2018,63.7
SH_DYN_IMRT,ss,2018,58.3
SH_DYN_IMRT,sd,2018,42.1
SH_DYN_IMRT,sd,2018,37.3
SH_DYN_IMRT,sd,2018,46.7
SH_DYN_IMRT,sr,2018,16.9
SH_DYN_IMRT,sr,2018,18.8
SH_DYN_IMRT,sr,2018,14.9
SH_DYN_IMRT,sz,2018,47.5
SH_DYN_IMRT,sz,2018,38.3
SH_DYN_IMRT,sz,2018,43.0
SH_DYN_IMRT,se,2018,2.2
SH_DYN_IMRT,se,2018,2.4
SH_DYN_IMRT,se,2018,2.0
SH_DYN_IMRT,ch,2018,3.7
SH_DYN_IMRT,ch,2018,3.4
SH_DYN_IMRT,ch,2018,4.0
SH_DYN_IMRT,sy,2018,14.0
SH_DYN_IMRT,sy,2018,15.1
SH_DYN_IMRT,sy,2018,12.5
SH_DYN_IMRT,tj,2018,26.6
SH_DYN_IMRT,tj,2018,30.4
SH_DYN_IMRT,tj,2018,34.1
SH_DYN_IMRT,th,2018,6.9
SH_DYN_IMRT,th,2018,7.8
SH_DYN_IMRT,th,2018,8.6
SH_DYN_IMRT,tg,2018,42.2
SH_DYN_IMRT,tg,2018,47.4
SH_DYN_IMRT,tg,2018,52.3
SH_DYN_IMRT,to,2018,13.4
SH_DYN_IMRT,to,2018,15.2
SH_DYN_IMRT,to,2018,11.6
SH_DYN_IMRT,tt,2018,14.7
SH_DYN_IMRT,tt,2018,16.4
SH_DYN_IMRT,tt,2018,17.9
SH_DYN_IMRT,ae,2018,5.8
SH_DYN_IMRT,ae,2018,7.1
SH_DYN_IMRT,ae,2018,6.5
SH_DYN_IMRT,tn,2018,14.6
SH_DYN_IMRT,tn,2018,15.9
SH_DYN_IMRT,tn,2018,13.2
SH_DYN_IMRT,tr,2018,9.1
SH_DYN_IMRT,tr,2018,8.5
SH_DYN_IMRT,tr,2018,9.6
SH_DYN_IMRT,tm,2018,44.5
SH_DYN_IMRT,tm,2018,39.3
SH_DYN_IMRT,tm,2018,33.9
SH_DYN_IMRT,tv,2018,18.2
SH_DYN_IMRT,tv,2018,20.6
SH_DYN_IMRT,tv,2018,22.9
SH_DYN_IMRT,ug,2018,33.8
SH_DYN_IMRT,ug,2018,30.3
SH_DYN_IMRT,ug,2018,37.2
SH_DYN_IMRT,ua,2018,8.2
SH_DYN_IMRT,ua,2018,6.7
SH_DYN_IMRT,ua,2018,7.5
SH_DYN_IMRT,mk,2018,8.1
SH_DYN_IMRT,mk,2018,8.7
SH_DYN_IMRT,mk,2018,9.2
SH_DYN_IMRT,eg,2018,16.8
SH_DYN_IMRT,eg,2018,19.3
SH_DYN_IMRT,eg,2018,18.1
SH_DYN_IMRT,gb,2018,4.0
SH_DYN_IMRT,gb,2018,3.6
SH_DYN_IMRT,gb,2018,3.3
SH_DYN_IMRT,tz,2018,37.6
SH_DYN_IMRT,tz,2018,34.4
SH_DYN_IMRT,tz,2018,40.7
SH_DYN_IMRT,us,2018,5.1
SH_DYN_IMRT,us,2018,6.1
SH_DYN_IMRT,us,2018,5.6
SH_DYN_IMRT,bf,2018,53.2
SH_DYN_IMRT,bf,2018,44.6
SH_DYN_IMRT,bf,2018,49.0
SH_DYN_IMRT,uy,2018,6.4
SH_DYN_IMRT,uy,2018,7.1
SH_DYN_IMRT,uy,2018,5.7
SH_DYN_IMRT,uz,2018,19.1
SH_DYN_IMRT,uz,2018,16.3
SH_DYN_IMRT,uz,2018,21.8
SH_DYN_IMRT,ve,2018,19.6
SH_DYN_IMRT,ve,2018,21.4
SH_DYN_IMRT,ve,2018,23.1
SH_DYN_IMRT,ws,2018,13.6
SH_DYN_IMRT,ws,2018,12.2
SH_DYN_IMRT,ws,2018,14.9
SH_DYN_IMRT,ye,2018,39.1
SH_DYN_IMRT,ye,2018,47.0
SH_DYN_IMRT,ye,2018,42.9
SH_DYN_IMRT,zm,2018,36.6
SH_DYN_IMRT,zm,2018,40.4
SH_DYN_IMRT,zm,2018,44.2
SE_PRE_PARTN,cu,2018,100.0
SE_PRE_PARTN,cu,2018,99.93591
SE_PRE_PARTN,cu,2018,99.87526
SE_PRE_PARTN,bj,2018,84.43211
SE_PRE_PARTN,bj,2018,85.15873
SE_PRE_PARTN,bj,2018,84.8008
SE_PRE_PARTN,lc,2018,100.0
SE_PRE_PARTN,lc,2018,91.39556
SE_PRE_PARTN,lc,2018,95.64068
SE_PRE_PARTN,sm,2018,93.69085
SE_PRE_PARTN,sm,2018,87.95181
SE_PRE_PARTN,sm,2018,100.0
SE_PRE_PARTN,sa,2018,45.80565
SE_PRE_PARTN,sa,2018,51.07262
SE_PRE_PARTN,sa,2018,40.69744
SE_PRE_PARTN,sn,2018,15.51451
SE_PRE_PARTN,sn,2018,14.61049
SE_PRE_PARTN,sn,2018,16.44312
SE_PRE_PARTN,do,2018,87.97991
SE_PRE_PARTN,do,2018,87.59507
SE_PRE_PARTN,do,2018,87.22218
SE_PRE_PARTN,ec,2018,94.58671
SE_PRE_PARTN,ec,2018,97.15254
SE_PRE_PARTN,ec,2018,92.13166
SE_PRE_PARTN,sv,2018,81.51218
SE_PRE_PARTN,sv,2018,83.14872
SE_PRE_PARTN,sv,2018,82.31171
SE_PRE_PARTN,er,2018,26.53425
SE_PRE_PARTN,er,2018,26.91873
SE_PRE_PARTN,er,2018,26.7308
SE_PRE_PARTN,rs,2018,93.50316
